
                                             CodeAnalysis
    ==============================================================================================
     Fri Aug 26 13:39:28 2016
     Path: C:\SU\Repository\CodeAnalyzer\Parser
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                             namespace                   Global Namespace       1       1     210

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         ActionsAndRules.h   namespace                       CodeAnalysis      81    1300     164
         ActionsAndRules.h       class                         Repository      89      54      13
         ActionsAndRules.h    function                         Repository     109       5       1
         ActionsAndRules.h    function                        ~Repository     116       3       1
         ActionsAndRules.h    function                           language     119       2       1
         ActionsAndRules.h    function                            package     121       2       1
         ActionsAndRules.h    function                        currentPath     123       2       1
         ActionsAndRules.h    function                      currentAccess     125       2       1
         ActionsAndRules.h    function                        getInstance     127       2       1
         ActionsAndRules.h    function                         scopeStack     129       2       1
         ActionsAndRules.h    function                                AST     131       2       1
         ActionsAndRules.h    function                     getGlobalScope     133       2       1
         ActionsAndRules.h    function                              Toker     135       2       1
         ActionsAndRules.h    function                          lineCount     138       4       1
         ActionsAndRules.h       class                         BeginScope     148      11       3
         ActionsAndRules.h    function                             doTest     151       7       2
         ActionsAndRules.h       class                   HandleBeginScope     164      23       3
         ActionsAndRules.h    function                   HandleBeginScope     168       3       1
         ActionsAndRules.h    function                           doAction     172      14       1
         ActionsAndRules.h       class                           EndScope     192      11       3
         ActionsAndRules.h    function                             doTest     195       7       2
         ActionsAndRules.h       class                     HandleEndScope     208      27       3
         ActionsAndRules.h    function                     HandleEndScope     214       3       1
         ActionsAndRules.h    function                           doAction     218      16       1
         ActionsAndRules.h       class              DetectAccessSpecifier     240      23       4
         ActionsAndRules.h    function                             doTest     243      19       3
         ActionsAndRules.h       class              HandleAccessSpecifier     268      20       3
         ActionsAndRules.h    function              HandleAccessSpecifier     273       3       1
         ActionsAndRules.h    function                           doAction     277      10       1
         ActionsAndRules.h       class                   PreprocStatement     293      14       3
         ActionsAndRules.h    function                             doTest     296      10       2
         ActionsAndRules.h       class             HandlePreprocStatement     312      17       3
         ActionsAndRules.h    function             HandlePreprocStatement     317       3       1
         ActionsAndRules.h    function                           doAction     321       7       1
         ActionsAndRules.h       class                NamespaceDefinition     334      19       4
         ActionsAndRules.h    function                             doTest     337      15       3
         ActionsAndRules.h       class          HandleNamespaceDefinition     358      19       3
         ActionsAndRules.h    function          HandleNamespaceDefinition     363       3       1
         ActionsAndRules.h    function                           doAction     367       9       1
         ActionsAndRules.h       class                    ClassDefinition     382      19       4
         ActionsAndRules.h    function                             doTest     385      15       3
         ActionsAndRules.h       class              HandleClassDefinition     406      24       3
         ActionsAndRules.h    function              HandleClassDefinition     411       3       1
         ActionsAndRules.h    function                           doAction     415      14       1
         ActionsAndRules.h       class                   StructDefinition     435      19       4
         ActionsAndRules.h    function                             doTest     438      15       3
         ActionsAndRules.h       class             HandleStructDefinition     459      23       3
         ActionsAndRules.h    function             HandleStructDefinition     464       3       1
         ActionsAndRules.h    function                           doAction     468      13       1
         ActionsAndRules.h       class              CppFunctionDefinition     487      24       4
         ActionsAndRules.h    function                             doTest     490      20       3
         ActionsAndRules.h       class        HandleCppFunctionDefinition     516      90       8
         ActionsAndRules.h    function        HandleCppFunctionDefinition     521       3       1
         ActionsAndRules.h    function                           doAction     525      80       6
         ActionsAndRules.h       class           CSharpFunctionDefinition     611      28       4
         ActionsAndRules.h    function                             doTest     614      24       3
         ActionsAndRules.h       class     HandleCSharpFunctionDefinition     644      91       7
         ActionsAndRules.h    function     HandleCSharpFunctionDefinition     649       3       1
         ActionsAndRules.h    function                           doAction     653      81       5
         ActionsAndRules.h       class                  ControlDefinition     740      25       5
